cas,CharacteristicName
35367-38-5,Diflubenzuron
35400-43-2,Sulprofos
35554-44-0,Imazalil
3567-62-2,"1-(3,4-dichlorophenyl)-3-methyl urea"
360-68-9,Coprosterol
36556-77-1,Deethylcyanazine amide
36576-42-8,Cyanazine-amide
36576-43-9,Cyanazine acid
36734-19-7,Iprodione
36749-35-6,Deethylcyanazine acid
3689-24-5,Sulfotep
3735-33-9,Phosmetoxon
3739-38-6,3-Phenoxybenzoic acid
374726-62-2,Mandipropamid
3761-41-9,Fenthion sulfoxide
378-44-9,Betamethasone
39222-73-6,Tebuthiuron Transformation Product 108
39515-41-8,Fenpropathrin
396-01-0,Triamterene
39638-32-9,Bis(2-chloroisopropyl) ether
39809-25-1,Penciclovir
40487-42-1,Pendimethalin
40596-69-8,Methoprene
41198-08-7,Profenofos
4147-57-3,Deisopropyl prometryn
42028-21-7,Estriol 17-sulfate
4205-90-7,Clonidine
42200-33-9,Nadolol
42399-41-7,Diltiazem
42874-03-3,Oxyfluorfen
43121-43-3,Triadimefon
439-14-5,Diazepam
446027-17-4,2-[(2-Ethyl-6-methylphenyl)amino]-2-oxoethanesulfonic acid
446027-18-5,sec-Alachlor sulfonic acid
469-62-5,Propoxyphene
474-86-2,Equilin
481-30-1,Epitestosterone
481-95-8,Estriol 3-sulfate
481-96-0,17-beta-Estradiol 3-sulfate
481-97-0,Estrone 3-sulfate
486-56-6,Cotinine
486460-32-6,Sitagliptin
494847-39-1,Alachlor sulfinylacetic acid
49562-28-9,Fenofibrate
50-23-7,Hydrocortisone
50-24-8,Prednisolone
50-27-1,Estriol
50-28-2,Estradiol
50-29-3,"p,p'-DDT"
50-32-8,Benzo[a]pyrene
50-48-6,Amitriptyline
500008-45-7,Chlorantraniliprole
50594-66-6,Acifluorfen
51-03-6,Piperonyl butoxide
51-28-5,"2,4-Dinitrophenol"
51218-45-2,Metolachlor
51235-04-2,Hexazinone
51276-47-2,Glufosinate
51384-51-1,Metoprolol
51481-61-9,Cimetidine
517-09-9,Equilenin
52-53-9,Verapamil
521-18-6,5a-Dihydrotestosterone
52236-30-3,Metribuzin DADK
52315-07-8,Beta Cypermethrin
525-66-6,Propranol
52645-53-1,Permethrin
52918-63-5,Deltamethrin
53-03-2,Prednisone
53-16-7,Estrone
53-70-3,"Dibenz[a,h]anthracene"
53112-28-0,Pyrimethanil
53179-11-6,Loperamide
532-03-6,Methocarbamol
534-52-1,"4,6-Dinitro-o-cresol"
5352-88-5,N-(4-Chlorophenyl)-N'-methylurea
54-11-5,Nicotine
541-73-1,"1,3-Dichlorobenzene"
54739-18-3,Fluvoxamine
54910-89-3,Fluoxetine
55-38-9,Fenthion
55219-65-3,Triadimenol
55283-68-6,Ethalfluralin
55335-06-3,Triclopyr
555-37-3,Neburon
5598-15-2,Chlorpyrifos O.A.
56-38-2,Parathion
56-53-1,trans-Diethylstilbestrol
56-55-3,Benz[a]anthracene
56-72-4,Coumaphos
56070-14-5,Terbufos oxon
56070-15-6,Terbufos oxygen analog sulfone
56070-16-7,Terbufos sulfone
56165-57-2,Terbufos oxon sulfoxide
563-12-2,Ethion
564-35-2,11-KetoTestosterone
56507-37-0,Metribuzin DK
56611-54-2,Demethyl hexazinone B
56681-55-1,Hydroxyalachlor
56750-76-6,4-(Hydroxymethyl) pendimethalin
57-27-2,Morphine
57-41-0,Dilantin
57-53-4,Meprobamate
