CommonName,PublishedSortOrder,BioDataTaxonName,HybridFlag,BenchTaxonName,BenchTaxonReferenceCode,ITIS_TSN,ITIS_MatchCode,PublishedTaxonNameLevel,PublishedTaxonName,PublishedTaxonNameAuthority,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Superfamily,Family,Subfamily,Genus,Species,Subspecies,TaxonVersionNumber
lampreys,1000005,Petromyzontidae,N,Petromyzontidae,"",159697,exact match,Family,Petromyzontidae,"",Petromyzontidae,Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,"","","","",5.5
"",1000007,Ichthyomyzon,N,Ichthyomyzon,"",159723,exact match,Genus,Ichthyomyzon,"Girard, 1858","Ichthyomyzon Girard, 1858",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,"","",5.5
Ohio lamprey,1000008,Ichthyomyzon bdellium,N,Ichthyomyzon bdellium,"",159724,exact match,Species,Ichthyomyzon bdellium,"(Jordan, 1885)","Ichthyomyzon bdellium (Jordan, 1885)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon bdellium,"",5.5
chestnut lamprey,1000009,Ichthyomyzon castaneus,N,Ichthyomyzon castaneus,"",159725,exact match,Species,Ichthyomyzon castaneus,"Girard, 1858","Ichthyomyzon castaneus Girard, 1858",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon castaneus,"",5.5
northern brook lamprey,1000010,Ichthyomyzon fossor,N,Ichthyomyzon fossor,"",159726,exact match,Species,Ichthyomyzon fossor,"Reighard and Cummins, 1916","Ichthyomyzon fossor Reighard and Cummins, 1916",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon fossor,"",5.5
southern brook lamprey,1000011,Ichthyomyzon gagei,N,Ichthyomyzon gagei,"",159727,exact match,Species,Ichthyomyzon gagei,"Hubbs and Trautman, 1937","Ichthyomyzon gagei Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon gagei,"",5.5
mountain brook lamprey,1000012,Ichthyomyzon greeleyi,N,Ichthyomyzon greeleyi,"",159728,exact match,Species,Ichthyomyzon greeleyi,"Hubbs and Trautman, 1937","Ichthyomyzon greeleyi Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon greeleyi,"",5.5
silver lamprey,1000013,Ichthyomyzon unicuspis,N,Ichthyomyzon unicuspis,"",159730,exact match,Species,Ichthyomyzon unicuspis,"Hubbs and Trautman, 1937","Ichthyomyzon unicuspis Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon unicuspis,"",5.5
"",1000014,Lampetra,N,Lampetra,"",159700,exact match,Genus,Lampetra,"Bonnaterre, 1788","Lampetra Bonnaterre, 1788",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,"","",5.5
least brook lamprey,1000015,Lampetra aepyptera,N,Lampetra aepyptera,"",159705,exact match,Species,Lampetra aepyptera,"(Abbott, 1860)","Lampetra aepyptera (Abbott, 1860)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra aepyptera,"",5.5
American brook lamprey,1000016,Lampetra appendix,N,Lampetra appendix,"",159708,exact match,Species,Lampetra appendix,"(DeKay, 1842)","Lampetra appendix (DeKay, 1842)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra appendix,"",5.5
Kern brook lamprey,1000018,Lampetra hubbsi,N,Lampetra hubbsi,"",159709,exact match,Species,Lampetra hubbsi,"(Vladykov and Kott, 1976)","Lampetra hubbsi (Vladykov and Kott, 1976)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra hubbsi,"",5.5
western brook lamprey,1000022,Lampetra richardsoni,N,Lampetra richardsoni,"",159707,exact match,Species,Lampetra richardsoni,"Vladykov and Follett, 1965","Lampetra richardsoni Vladykov and Follett, 1965",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra richardsoni,"",5.5
Pacific lamprey,1000024,Lampetra tridentata,N,Lampetra tridentata,"",159713,exact match,Species,Lampetra tridentata,"(Richardson, 1836)","Lampetra tridentata (Richardson, 1836)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra tridentata,"",5.5
Arctic lamprey,1000026,Lethenteron japonicum,N,Lethenteron japonicum,"",159703,exact match,Species,Lethenteron japonicum,"(Martens, 1868)","Lethenteron japonicum (Martens, 1868)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lethenteron,Lethenteron japonicum,"",5.5
sea lamprey,1000028,Petromyzon marinus,N,Petromyzon marinus,"",159722,exact match,Species,Petromyzon marinus,"Linnaeus, 1758","Petromyzon marinus Linnaeus, 1758",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Petromyzon,Petromyzon marinus,"",5.5
Bony Fishes,1000034,Osteichthyes,N,Osteichthyes,"",161030,exact match,Superclass,Osteichthyes,"",Osteichthyes,Chordata,Vertebrata,Osteichthyes,"","","","","","","","","","",5.5
greater sturgeons,1000039,Acipenser,N,Acipenser,"",161065,exact match,Genus,Acipenser,"Linnaeus, 1758","Acipenser Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Chondrostei,"",Acipenseriformes,"",Acipenseridae,Acipenserinae,Acipenser,"","",5.5
lake sturgeon,1000041,Acipenser fulvescens,N,Acipenser fulvescens,"",161071,exact match,Species,Acipenser fulvescens,"Rafinesque, 1817","Acipenser fulvescens Rafinesque, 1817",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Chondrostei,"",Acipenseriformes,"",Acipenseridae,Acipenserinae,Acipenser,Acipenser fulvescens,"",5.5
white sturgeon,1000044,Acipenser transmontanus,N,Acipenser transmontanus,"",161068,exact match,Species,Acipenser transmontanus,"Richardson, 1836","Acipenser transmontanus Richardson, 1836",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Chondrostei,"",Acipenseriformes,"",Acipenseridae,Acipenserinae,Acipenser,Acipenser transmontanus,"",5.5
shovelnose sturgeon,1000048,Scaphirhynchus platorynchus,N,Scaphirhynchus platorynchus,"",161082,exact match,Species,Scaphirhynchus platorynchus,"(Rafinesque, 1820)","Scaphirhynchus platorynchus (Rafinesque, 1820)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Chondrostei,"",Acipenseriformes,"",Acipenseridae,Scaphirhynchinae,Scaphirhynchus,Scaphirhynchus platorynchus,"",5.5
paddlefish,1000051,Polyodon spathula,N,Polyodon spathula,"",161088,exact match,Species,Polyodon spathula,"(Walbaum, 1792)","Polyodon spathula (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Chondrostei,"",Acipenseriformes,"",Polyodontidae,"",Polyodon,Polyodon spathula,"",5.5
alligator gar,1000055,Atractosteus spatula,N,Atractosteus spatula,"",201897,exact match,Species,Atractosteus spatula,"(Lacepède, 1803)","Atractosteus spatula (Lacepède, 1803)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Semionotiformes,"",Lepisosteidae,"",Atractosteus,Atractosteus spatula,"",5.5
spotted gar,1000057,Lepisosteus oculatus,N,Lepisosteus oculatus,"",161095,exact match,Species,Lepisosteus oculatus,"Winchell, 1864","Lepisosteus oculatus Winchell, 1864",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Semionotiformes,"",Lepisosteidae,"",Lepisosteus,Lepisosteus oculatus,"",5.5
longnose gar,1000058,Lepisosteus osseus,N,Lepisosteus osseus,"",161094,exact match,Species,Lepisosteus osseus,"(Linnaeus, 1758)","Lepisosteus osseus (Linnaeus, 1758)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Semionotiformes,"",Lepisosteidae,"",Lepisosteus,Lepisosteus osseus,"",5.5
shortnose gar,1000059,Lepisosteus platostomus,N,Lepisosteus platostomus,"",161096,exact match,Species,Lepisosteus platostomus,"Rafinesque, 1820","Lepisosteus platostomus Rafinesque, 1820",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Semionotiformes,"",Lepisosteidae,"",Lepisosteus,Lepisosteus platostomus,"",5.5
Florida gar,1000060,Lepisosteus platyrhincus,N,Lepisosteus platyrhincus,"",161098,exact match,Species,Lepisosteus platyrhincus,"DeKay, 1842","Lepisosteus platyrhincus DeKay, 1842",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Semionotiformes,"",Lepisosteidae,"",Lepisosteus,Lepisosteus platyrhincus,"",5.5
bowfin,1000064,Amia calva,N,Amia calva,"",161104,exact match,Species,Amia calva,"Linnaeus, 1766","Amia calva Linnaeus, 1766",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,"",Amiiformes,"",Amiidae,"",Amia,Amia calva,"",5.5
goldeye,1000068,Hiodon alosoides,N,Hiodon alosoides,"",161905,exact match,Species,Hiodon alosoides,"(Rafinesque, 1819)","Hiodon alosoides (Rafinesque, 1819)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Osteoglossomorpha,Osteoglossiformes,Hiodontoidea,Hiodontidae,"",Hiodon,Hiodon alosoides,"",5.5
mooneye,1000069,Hiodon tergisus,N,Hiodon tergisus,"",161906,exact match,Species,Hiodon tergisus,"Lesueur, 1818","Hiodon tergisus Lesueur, 1818",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Osteoglossomorpha,Osteoglossiformes,Hiodontoidea,Hiodontidae,"",Hiodon,Hiodon tergisus,"",5.5
ladyfish,1000074,Elops saurus,N,Elops saurus,"",161111,exact match,Species,Elops saurus,"Linnaeus, 1766","Elops saurus Linnaeus, 1766",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Elopomorpha,Elopiformes,"",Elopidae,"",Elops,Elops saurus,"",5.5
American eel,1000081,Anguilla rostrata,N,Anguilla rostrata,"",161127,exact match,Species,Anguilla rostrata,"(Lesueur, 1817)","Anguilla rostrata (Lesueur, 1817)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,"",Anguillidae,"",Anguilla,Anguilla rostrata,"",5.5
bay anchovy,1000087,Anchoa mitchilli,N,Anchoa mitchilli,"",161839,exact match,Species,Anchoa mitchilli,"(Valenciennes in Cuvier and Valenciennes, 1848)","Anchoa mitchilli (Valenciennes in Cuvier and Valenciennes, 1848)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Engraulidae,Engraulinae,Anchoa,Anchoa mitchilli,"",5.5
herrings,1000088,Clupeidae,N,Clupeidae,"",161700,exact match,Family,Clupeidae,"",Clupeidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,"","","","",5.5
blueback herring,1000091,Alosa aestivalis,N,Alosa aestivalis,"",161703,exact match,Species,Alosa aestivalis,"(Mitchill, 1814)","Alosa aestivalis (Mitchill, 1814)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Alosinae,Alosa,Alosa aestivalis,"",5.5
skipjack herring,1000093,Alosa chrysochloris,N,Alosa chrysochloris,"",161707,exact match,Species,Alosa chrysochloris,"(Rafinesque, 1820)","Alosa chrysochloris (Rafinesque, 1820)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Alosinae,Alosa,Alosa chrysochloris,"",5.5
alewife,1000095,Alosa pseudoharengus,N,Alosa pseudoharengus,"",161706,exact match,Species,Alosa pseudoharengus,"(Wilson, 1811)","Alosa pseudoharengus (Wilson, 1811)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Alosinae,Alosa,Alosa pseudoharengus,"",5.5
American shad,1000096,Alosa sapidissima,N,Alosa sapidissima,"",161702,exact match,Species,Alosa sapidissima,"(Wilson, 1811)","Alosa sapidissima (Wilson, 1811)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Alosinae,Alosa,Alosa sapidissima,"",5.5
gulf menhaden,1000099,Brevoortia patronus,N,Brevoortia patronus,"",161734,exact match,Species,Brevoortia patronus,"Goode, 1878","Brevoortia patronus Goode, 1878",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Alosinae,Brevoortia,Brevoortia patronus,"",5.5
gizzard shad,1000104,Dorosoma cepedianum,N,Dorosoma cepedianum,"",161737,exact match,Species,Dorosoma cepedianum,"(Lesueur, 1818)","Dorosoma cepedianum (Lesueur, 1818)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Dorosomatinae,Dorosoma,Dorosoma cepedianum,"",5.5
threadfin shad,1000105,Dorosoma petenense,N,Dorosoma petenense,"",161738,exact match,Species,Dorosoma petenense,"(Günther, 1867)","Dorosoma petenense (Günther, 1867)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,"",Clupeidae,Dorosomatinae,Dorosoma,Dorosoma petenense,"",5.5
blacktail x bandfin shiner,1000107,Cyprinella venusta x Luxilus zonistius,Y,Cyprinella venusta x Luxilus zonistius,"",163342,exact match,Family,Cyprinidae,"",Cyprinidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"","","","",5.5
carps and minnows,1000108,Cyprinidae,N,Cyprinidae,"",163342,exact match,Family,Cyprinidae,"",Cyprinidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"","","","",5.5
common carp x goldfish,1000109,Cyprinus carpio x Carassius auratus,Y,Cyprinus carpio x Carassius auratus,"",163342,exact match,Family,Cyprinidae,"",Cyprinidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"","","","",5.5
Redside Shiner x Speckled Dace,1000110,Richardsonius balteatus x Rhinichthys osculus,Y,Richardsonius balteatus x Rhinichthys osculus,"",163342,exact match,Family,Cyprinidae,"",Cyprinidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"","","","",5.5
chiselmouth,1000112,Acrocheilus alutaceus,N,Acrocheilus alutaceus,"",163531,exact match,Species,Acrocheilus alutaceus,"Agassiz and Pickering in Agassiz, 1855","Acrocheilus alutaceus Agassiz and Pickering in Agassiz, 1855",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Acrocheilus,Acrocheilus alutaceus,"",5.5
longfin dace,1000114,Agosia chrysogaster,N,Agosia chrysogaster,"",163533,exact match,Species,Agosia chrysogaster,"Girard, 1856","Agosia chrysogaster Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Agosia,Agosia chrysogaster,"",5.5
stonerollers,1000115,Campostoma,N,Campostoma,"",163507,exact match,Genus,Campostoma,"Agassiz, 1855","Campostoma Agassiz, 1855",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Campostoma,"","",5.5
central stoneroller,1000116,Campostoma anomalum,N,Campostoma anomalum,"",163508,exact match,Species,Campostoma anomalum,"(Rafinesque, 1820)","Campostoma anomalum (Rafinesque, 1820)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Campostoma,Campostoma anomalum,"",5.5
largescale stoneroller,1000117,Campostoma oligolepis,N,Campostoma oligolepis,"",163509,exact match,Species,Campostoma oligolepis,"Hubbs and Greene, 1935","Campostoma oligolepis Hubbs and Greene, 1935",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Campostoma,Campostoma oligolepis,"",5.5
bluefin stoneroller,1000119,Campostoma pauciradii,N,Campostoma pauciradii,"",163511,exact match,Species,Campostoma pauciradii,"Burr and Cashner, 1983","Campostoma pauciradii Burr and Cashner, 1983",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Campostoma,Campostoma pauciradii,"",5.5
goldfish,1000121,Carassius auratus,N,Carassius auratus,"",163350,exact match,Species,Carassius auratus,"(Linnaeus, 1758)","Carassius auratus (Linnaeus, 1758)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Carassius,Carassius auratus,"",5.5
redside dace,1000123,Clinostomus elongatus,N,Clinostomus elongatus,"",163373,exact match,Species,Clinostomus elongatus,"(Kirtland, 1840)","Clinostomus elongatus (Kirtland, 1840)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Clinostomus,Clinostomus elongatus,"",5.5
rosyside dace,1000124,Clinostomus funduloides,N,Clinostomus funduloides,"",163371,exact match,Species,Clinostomus funduloides,"Girard, 1856","Clinostomus funduloides Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Clinostomus,Clinostomus funduloides,"",5.5
lake chub,1000126,Couesius plumbeus,N,Couesius plumbeus,"",163535,exact match,Species,Couesius plumbeus,"(Agassiz, 1850)","Couesius plumbeus (Agassiz, 1850)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Couesius,Couesius plumbeus,"",5.5
grass carp,1000128,Ctenopharyngodon idella,N,Ctenopharyngodon idella,"",163537,exact match,Species,Ctenopharyngodon idella,"(Valenciennes in Cuvier and Valenciennes, 1844)","Ctenopharyngodon idella (Valenciennes in Cuvier and Valenciennes, 1844)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Ctenopharyngodon,Ctenopharyngodon idella,"",5.5
satinfin shiners,1000129,Cyprinella,N,Cyprinella,"",163765,exact match,Genus,Cyprinella,"Girard, 1856","Cyprinella Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,"","",5.5
red x blacktail shiner,1000130,Cyprinella lutrensis x Cyprinella venusta,Y,Cyprinella lutrensis x Cyprinella venusta,"",163765,exact match,Genus,Cyprinella,"Girard, 1856","Cyprinella Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,"","",5.5
satinfin shiner,1000131,Cyprinella analostana,N,Cyprinella analostana,"",163766,exact match,Species,Cyprinella analostana,"Girard, 1859","Cyprinella analostana Girard, 1859",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella analostana,"",5.5
Ocmulgee shiner,1000133,Cyprinella callisema,N,Cyprinella callisema,"",163770,exact match,Species,Cyprinella callisema,"(Jordan, 1877)","Cyprinella callisema (Jordan, 1877)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella callisema,"",5.5
Alabama shiner,1000134,Cyprinella callistia,N,Cyprinella callistia,"",163772,exact match,Species,Cyprinella callistia,"(Jordan, 1877)","Cyprinella callistia (Jordan, 1877)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella callistia,"",5.5
bluntface shiner,1000136,Cyprinella camura,N,Cyprinella camura,"",163776,exact match,Species,Cyprinella camura,"(Jordan and Meek, 1884)","Cyprinella camura (Jordan and Meek, 1884)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella camura,"",5.5
greenfin shiner,1000137,Cyprinella chloristia,N,Cyprinella chloristia,"",163778,exact match,Species,Cyprinella chloristia,"(Jordan and Brayton, 1878)","Cyprinella chloristia (Jordan and Brayton, 1878)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella chloristia,"",5.5
whitetail shiner,1000139,Cyprinella galactura,N,Cyprinella galactura,"",163782,exact match,Species,Cyprinella galactura,"(Cope, 1868)","Cyprinella galactura (Cope, 1868)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella galactura,"",5.5
Tallapoosa shiner,1000140,Cyprinella gibbsi,N,Cyprinella gibbsi,"",163784,exact match,Species,Cyprinella gibbsi,"(Howell and Williams, 1971)","Cyprinella gibbsi (Howell and Williams, 1971)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella gibbsi,"",5.5
bannerfin shiner,1000141,Cyprinella leedsi,N,Cyprinella leedsi,"",163788,exact match,Species,Cyprinella leedsi,"(Fowler, 1942)","Cyprinella leedsi (Fowler, 1942)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella leedsi,"",5.5
plateau shiner,1000142,Cyprinella lepida,N,Cyprinella lepida,"",163790,exact match,Species,Cyprinella lepida,"Girard, 1856","Cyprinella lepida Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella lepida,"",5.5
red shiner,1000143,Cyprinella lutrensis,N,Cyprinella lutrensis,"",163792,exact match,Species,Cyprinella lutrensis,"(Baird and Girard, 1853)","Cyprinella lutrensis (Baird and Girard, 1853)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella lutrensis,"",5.5
whitefin shiner,1000144,Cyprinella nivea,N,Cyprinella nivea,"",163797,exact match,Species,Cyprinella nivea,"(Cope, 1870)","Cyprinella nivea (Cope, 1870)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella nivea,"",5.5
proserpine shiner,1000145,Cyprinella proserpina,N,Cyprinella proserpina,"",163799,exact match,Species,Cyprinella proserpina,"(Girard, 1856)","Cyprinella proserpina (Girard, 1856)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella proserpina,"",5.5
fieryblack shiner,1000146,Cyprinella pyrrhomelas,N,Cyprinella pyrrhomelas,"",163801,exact match,Species,Cyprinella pyrrhomelas,"(Cope, 1870)","Cyprinella pyrrhomelas (Cope, 1870)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella pyrrhomelas,"",5.5
spotfin shiner,1000147,Cyprinella spiloptera,N,Cyprinella spiloptera,"",163803,exact match,Species,Cyprinella spiloptera,"(Cope, 1867)","Cyprinella spiloptera (Cope, 1867)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella spiloptera,"",5.5
tricolor shiner,1000148,Cyprinella trichroistia,N,Cyprinella trichroistia,"",163806,exact match,Species,Cyprinella trichroistia,"(Jordan and Gilbert in Jordan and Brayton, 1878)","Cyprinella trichroistia (Jordan and Gilbert in Jordan and Brayton, 1878)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella trichroistia,"",5.5
blacktail shiner,1000149,Cyprinella venusta,N,Cyprinella venusta,"",163809,exact match,Species,Cyprinella venusta,"Girard, 1856","Cyprinella venusta Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella venusta,"",5.5
steelcolor shiner,1000150,Cyprinella whipplei,N,Cyprinella whipplei,"",163811,exact match,Species,Cyprinella whipplei,"Girard, 1856","Cyprinella whipplei Girard, 1856",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella whipplei,"",5.5
Altamaha shiner,1000151,Cyprinella xaenura,N,Cyprinella xaenura,"",163814,exact match,Species,Cyprinella xaenura,"(Jordan, 1877)","Cyprinella xaenura (Jordan, 1877)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinella,Cyprinella xaenura,"",5.5
common carps,1000152,Cyprinus,N,Cyprinus,"",163343,exact match,Genus,Cyprinus,"Linnaeus, 1758","Cyprinus Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,"",Cyprinus,"","",5.5
